file_type|column_name|column_type|column_length|encoding|sort_key|dist_key|null|system_column|identity_column|default_column
TBMZB_EMAIL_INTERACTIONS_tmp|IS_UNIQUE|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SUBSCRIBER_ID|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|BOUNCE_COUNT|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|DATE_JOINED|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|DATE_UNDELIVERABLE|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|DATE_UNSUBSCRIBED|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|LIST_ID|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|DIVISION|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|PLAN_SPONSOR_ID|varchar|16|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|PLAN_SPONSOR_NAME|varchar|225|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|WORK_EMAIL|varchar|255|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|EMAIL_CREATE_DATE|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CELL_PIECE_CD|varchar|100|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CELL_TREATMENT_DESC|varchar|100|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|FOLLOWUP_EMAIL_FLAG|varchar|100|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|TEST_FLAG|varchar|100|ZSTD|n|n|y|n|n|n
